TransactionNo,Items,DateTime,Daypart,DayType,SoldItems
62,Pick and Mix Bowls,10/30/2016 13:24,Afternoon,Weekend,172
62,Hearty & Seasonal,10/30/2016 13:24,Afternoon,Weekend,194
62,Hearty & Seasonal,10/30/2016 13:24,Afternoon,Weekend,196
62,Coffee,10/30/2016 13:24,Afternoon,Weekend,196
62,Smoothies,10/30/2016 13:24,Afternoon,Weekend,236
62,Coffee,10/30/2016 13:24,Afternoon,Weekend,235
63,Coffee,10/30/2016 13:33,Afternoon,Weekend,229
64,Cake,10/30/2016 13:34,Afternoon,Weekend,243
65,Tartine,10/30/2016 13:37,Afternoon,Weekend,264
65,Mighty Protein,10/30/2016 13:37,Afternoon,Weekend,272
65,Tea,10/30/2016 13:37,Afternoon,Weekend,237
65,Coffee,10/30/2016 13:37,Afternoon,Weekend,211
66,Hearty & Seasonal,10/30/2016 13:40,Afternoon,Weekend,180
66,Frittata,10/30/2016 13:40,Afternoon,Weekend,201
66,Mineral water,10/30/2016 13:40,Afternoon,Weekend,204
67,Hearty & Seasonal,10/30/2016 13:46,Afternoon,Weekend,188
67,Mineral water,10/30/2016 13:46,Afternoon,Weekend,235
67,Muffin,10/30/2016 13:46,Afternoon,Weekend,227
68,Frittata,10/30/2016 13:49,Afternoon,Weekend,234
68,Coffee,10/30/2016 13:49,Afternoon,Weekend,264
68,Tea,10/30/2016 13:49,Afternoon,Weekend,302
68,Scandinavian,10/30/2016 13:49,Afternoon,Weekend,293
68,Chicken sand,10/30/2016 13:49,Afternoon,Weekend,259
69,Bread,10/30/2016 13:51,Afternoon,Weekend,229
69,Tea,10/30/2016 13:51,Afternoon,Weekend,203
69,Victorian Sponge,10/30/2016 13:51,Afternoon,Weekend,229
70,Fudge,10/30/2016 13:54,Afternoon,Weekend,242
71,Muffin,10/30/2016 13:56,Afternoon,Weekend,233
72,Coffee,10/30/2016 14:21,Afternoon,Weekend,267
72,Bread,10/30/2016 14:21,Afternoon,Weekend,269
73,Bread,10/30/2016 14:22,Afternoon,Weekend,270
74,Coffee,10/30/2016 14:24,Afternoon,Weekend,315
74,Bread,10/30/2016 14:24,Afternoon,Weekend,364
75,Jam,10/30/2016 14:32,Afternoon,Weekend,347
75,Frittata,10/30/2016 14:32,Afternoon,Weekend,312
76,Coffee,10/30/2016 14:32,Afternoon,Weekend,274
77,Scandinavian,10/30/2016 14:35,Afternoon,Weekend,237
78,Fudge,10/30/2016 14:42,Afternoon,Weekend,278
79,Fudge,10/30/2016 14:45,Afternoon,Weekend,284
79,Tea,10/30/2016 14:45,Afternoon,Weekend,277
79,Coffee,10/30/2016 14:45,Afternoon,Weekend,317
79,Muffin,10/30/2016 14:45,Afternoon,Weekend,313
80,Frittata,10/30/2016 14:48,Afternoon,Weekend,318
80,Bread,10/30/2016 14:48,Afternoon,Weekend,374
80,Coffee,10/30/2016 14:48,Afternoon,Weekend,413
81,Coffee,10/31/2016 8:28,Morning,Weekday,405
81,Cake,10/31/2016 8:28,Morning,Weekday,355
82,Tartine,10/31/2016 8:47,Morning,Weekday,306
82,Bread,10/31/2016 8:47,Morning,Weekday,271
83,Coffee,10/31/2016 8:57,Morning,Weekday,306
83,Bread,10/31/2016 8:57,Morning,Weekday,315
84,Bread,10/31/2016 9:04,Morning,Weekday,301
85,Coffee,10/31/2016 9:10,Morning,Weekday,356
85,Coffee,10/31/2016 9:10,Morning,Weekday,348
85,Pastry,10/31/2016 9:10,Morning,Weekday,355
85,Medialuna,10/31/2016 9:10,Morning,Weekday,422
86,Juice,10/31/2016 9:11,Morning,Weekday,465
87,Bread,10/31/2016 9:12,Morning,Weekday,467
88,Coffee,10/31/2016 9:16,Morning,Weekday,404
88,Coffee,10/31/2016 9:16,Morning,Weekday,347
88,Jam,10/31/2016 9:16,Morning,Weekday,305
89,Bread,10/31/2016 9:19,Morning,Weekday,336
90,Bread,10/31/2016 9:20,Morning,Weekday,340
90,Coffee,10/31/2016 9:20,Morning,Weekday,318
91,Tea,10/31/2016 9:22,Morning,Weekday,362
92,Coffee,10/31/2016 9:27,Morning,Weekday,348
93,Bread,10/31/2016 9:29,Morning,Weekday,363
93,Coke,10/31/2016 9:29,Morning,Weekday,435
94,Coffee,10/31/2016 9:39,Morning,Weekday,491
94,Coffee,10/31/2016 9:39,Morning,Weekday,505
95,Tea,10/31/2016 9:43,Morning,Weekday,404
95,Pastry,10/31/2016 9:43,Morning,Weekday,359
95,Farm House,10/31/2016 9:43,Morning,Weekday,310
96,Pastry,10/31/2016 9:46,Morning,Weekday,337
96,Pastry,10/31/2016 9:46,Morning,Weekday,360
96,Coffee,10/31/2016 9:46,Morning,Weekday,342
96,Juice,10/31/2016 9:46,Morning,Weekday,406
97,Coffee,10/31/2016 9:51,Morning,Weekday,396
97,Pastry,10/31/2016 9:51,Morning,Weekday,420
97,Juice,10/31/2016 9:51,Morning,Weekday,472
98,Farm House,10/31/2016 9:52,Morning,Weekday,548
99,Pastry,10/31/2016 9:56,Morning,Weekday,559
99,Pastry,10/31/2016 9:56,Morning,Weekday,463
99,Coffee,10/31/2016 9:56,Morning,Weekday,407
99,Bread,10/31/2016 9:56,Morning,Weekday,362
100,Bread,10/31/2016 9:58,Morning,Weekday,405
101,Coffee,10/31/2016 10:04,Morning,Weekday,417
101,Pastry,10/31/2016 10:04,Morning,Weekday,391
102,Farm House,10/31/2016 10:04,Morning,Weekday,419
103,Bread,10/31/2016 10:07,Morning,Weekday,461
104,Coffee,10/31/2016 10:12,Morning,Weekday,472
104,Coffee,10/31/2016 10:12,Morning,Weekday,535
104,Medialuna,10/31/2016 10:12,Morning,Weekday,622
104,Muffin,10/31/2016 10:12,Morning,Weekday,606
104,Coffee,10/31/2016 10:12,Morning,Weekday,508
105,Coffee,10/31/2016 10:21,Morning,Weekday,461
105,Tea,10/31/2016 10:21,Morning,Weekday,390
105,Cake,10/31/2016 10:21,Morning,Weekday,432
106,Coffee,10/31/2016 10:24,Morning,Weekday,112
106,Coffee,10/31/2016 10:24,Morning,Weekday,118
106,Pastry,10/31/2016 10:24,Morning,Weekday,132
106,Pastry,10/31/2016 10:24,Morning,Weekday,129
107,Coffee,10/31/2016 10:27,Morning,Weekday,121
107,Tea,10/31/2016 10:27,Morning,Weekday,135
108,Farm House,10/31/2016 10:31,Morning,Weekday,148
108,Muffin,10/31/2016 10:31,Morning,Weekday,148
109,Bread,10/31/2016 10:35,Morning,Weekday,136
109,Muffin,10/31/2016 10:35,Morning,Weekday,119
109,Pastry,10/31/2016 10:35,Morning,Weekday,104
110,Pastry,10/31/2016 10:36,Morning,Weekday,118
111,Coffee,10/31/2016 10:38,Morning,Weekday,115
112,Coffee,10/31/2016 10:59,Morning,Weekday,126
113,Coffee,10/31/2016 11:02,Morning,Weekday,141
113,Cake,10/31/2016 11:02,Morning,Weekday,135
114,Farm House,10/31/2016 11:05,Morning,Weekday,125
115,Bread,10/31/2016 11:08,Morning,Weekday,149
116,Coffee,10/31/2016 11:11,Morning,Weekday,170
117,Cookies,10/31/2016 11:13,Morning,Weekday,170
117,Cake,10/31/2016 11:13,Morning,Weekday,158
117,Coffee,10/31/2016 11:13,Morning,Weekday,133
117,My-5 Fruit Shoot,10/31/2016 11:13,Morning,Weekday,114
118,Cookies,10/31/2016 11:18,Morning,Weekday,140
118,Cookies,10/31/2016 11:18,Morning,Weekday,145
118,Tea,10/31/2016 11:18,Morning,Weekday,150
118,Pastry,10/31/2016 11:18,Morning,Weekday,178
119,Coffee,10/31/2016 11:25,Morning,Weekday,163
119,Coffee,10/31/2016 11:25,Morning,Weekday,172
119,Muffin,10/31/2016 11:25,Morning,Weekday,178
120,Farm House,10/31/2016 11:29,Morning,Weekday,199
121,Coffee,10/31/2016 11:30,Morning,Weekday,199
121,Bread,10/31/2016 11:30,Morning,Weekday,184
122,Cookies,10/31/2016 11:37,Morning,Weekday,162
123,Jam,10/31/2016 11:42,Morning,Weekday,146
123,Coffee,10/31/2016 11:42,Morning,Weekday,166
123,Coffee,10/31/2016 11:42,Morning,Weekday,171
123,Juice,10/31/2016 11:42,Morning,Weekday,180
124,Coffee,10/31/2016 11:43,Morning,Weekday,193
124,Soup,10/31/2016 11:43,Morning,Weekday,181
125,Tea,10/31/2016 11:47,Morning,Weekday,183
126,Coffee,10/31/2016 11:52,Morning,Weekday,218
126,Jam,10/31/2016 11:52,Morning,Weekday,230
127,Farm House,10/31/2016 11:53,Morning,Weekday,242
128,Tartine,10/31/2016 11:55,Morning,Weekday,209
128,Coffee,10/31/2016 11:55,Morning,Weekday,191
128,Tea,10/31/2016 11:55,Morning,Weekday,172
129,Coffee,10/31/2016 11:59,Morning,Weekday,194
129,Coffee,10/31/2016 11:59,Morning,Weekday,196
129,Cake,10/31/2016 11:59,Morning,Weekday,196
130,Coffee,10/31/2016 12:03,Afternoon,Weekday,236
130,Coffee,10/31/2016 12:03,Afternoon,Weekday,235
130,Muffin,10/31/2016 12:03,Afternoon,Weekday,229
131,Bread,10/31/2016 12:08,Afternoon,Weekday,243
131,Coffee,10/31/2016 12:08,Afternoon,Weekday,264
132,Tea,10/31/2016 12:14,Afternoon,Weekday,272
132,Juice,10/31/2016 12:14,Afternoon,Weekday,237
132,Pick and Mix Bowls,10/31/2016 12:14,Afternoon,Weekday,211
132,Cookies,10/31/2016 12:14,Afternoon,Weekday,180
133,Hearty & Seasonal,10/31/2016 12:16,Afternoon,Weekday,201
133,Soup,10/31/2016 12:16,Afternoon,Weekday,204
134,Hearty & Seasonal,10/31/2016 12:19,Afternoon,Weekday,188
134,Tea,10/31/2016 12:19,Afternoon,Weekday,235
134,Farm House,10/31/2016 12:19,Afternoon,Weekday,227
135,Bread,10/31/2016 12:20,Afternoon,Weekday,234
136,Tea,10/31/2016 12:27,Afternoon,Weekday,264
136,Soup,10/31/2016 12:27,Afternoon,Weekday,302
137,Farm House,10/31/2016 12:37,Afternoon,Weekday,293
138,Soup,10/31/2016 12:43,Afternoon,Weekday,259
138,Hearty & Seasonal,10/31/2016 12:43,Afternoon,Weekday,229
138,Coffee,10/31/2016 12:43,Afternoon,Weekday,203
139,Bread,10/31/2016 12:50,Afternoon,Weekday,229
139,Muffin,10/31/2016 12:50,Afternoon,Weekday,242
139,Hearty & Seasonal,10/31/2016 12:50,Afternoon,Weekday,233
140,Coffee,10/31/2016 12:53,Afternoon,Weekday,267
140,Coffee,10/31/2016 12:53,Afternoon,Weekday,269
140,Cookies,10/31/2016 12:53,Afternoon,Weekday,270
141,Bread,10/31/2016 12:54,Afternoon,Weekday,315
142,Tea,10/31/2016 12:56,Afternoon,Weekday,364
142,Muffin,10/31/2016 12:56,Afternoon,Weekday,112
143,Tea,10/31/2016 12:59,Afternoon,Weekday,118
144,Soup,10/31/2016 13:02,Afternoon,Weekday,132
144,Hearty & Seasonal,10/31/2016 13:02,Afternoon,Weekday,129
145,Coffee,10/31/2016 13:05,Afternoon,Weekday,121
145,Tea,10/31/2016 13:05,Afternoon,Weekday,135
145,Focaccia,10/31/2016 13:05,Afternoon,Weekday,148
146,Sandwich,10/31/2016 13:08,Afternoon,Weekday,148
147,Tartine,10/31/2016 13:09,Afternoon,Weekday,136
147,Coffee,10/31/2016 13:09,Afternoon,Weekday,119
148,Fudge,10/31/2016 13:21,Afternoon,Weekday,104
148,Coffee,10/31/2016 13:21,Afternoon,Weekday,118
148,Coffee,10/31/2016 13:21,Afternoon,Weekday,115
149,Coffee,10/31/2016 13:26,Afternoon,Weekday,126
150,Bread,10/31/2016 13:31,Afternoon,Weekday,141
151,Coke,10/31/2016 13:50,Afternoon,Weekday,135
151,Soup,10/31/2016 13:50,Afternoon,Weekday,125
152,Muffin,10/31/2016 13:51,Afternoon,Weekday,149
153,Tea,10/31/2016 13:55,Afternoon,Weekday,170
153,Coffee,10/31/2016 13:55,Afternoon,Weekday,170
153,Cookies,10/31/2016 13:55,Afternoon,Weekday,158
153,Muffin,10/31/2016 13:55,Afternoon,Weekday,133
154,Mighty Protein,10/31/2016 14:00,Afternoon,Weekday,114
154,Hearty & Seasonal,10/31/2016 14:00,Afternoon,Weekday,140
154,Coffee,10/31/2016 14:00,Afternoon,Weekday,145
154,Coke,10/31/2016 14:00,Afternoon,Weekday,150
155,Tea,10/31/2016 14:01,Afternoon,Weekday,178
155,Muffin,10/31/2016 14:01,Afternoon,Weekday,163
155,Sandwich,10/31/2016 14:01,Afternoon,Weekday,172
156,Coffee,10/31/2016 14:04,Afternoon,Weekday,178
156,Muffin,10/31/2016 14:04,Afternoon,Weekday,199
157,Coffee,10/31/2016 14:05,Afternoon,Weekday,199
157,Bread,10/31/2016 14:05,Afternoon,Weekday,184
158,Coffee,10/31/2016 14:20,Afternoon,Weekday,162
158,Muffin,10/31/2016 14:20,Afternoon,Weekday,146
159,Bread,10/31/2016 14:22,Afternoon,Weekday,166
159,Hot chocolate,10/31/2016 14:22,Afternoon,Weekday,171
159,Cookies,10/31/2016 14:22,Afternoon,Weekday,180
160,Mineral water,10/31/2016 14:35,Afternoon,Weekday,193
160,Muffin,10/31/2016 14:35,Afternoon,Weekday,181
161,Tea,10/31/2016 14:42,Afternoon,Weekday,183
162,Muffin,10/31/2016 14:44,Afternoon,Weekday,218
163,Coffee,10/31/2016 14:47,Afternoon,Weekday,230
163,Juice,10/31/2016 14:47,Afternoon,Weekday,242
164,Coffee,10/31/2016 14:47,Afternoon,Weekday,209
164,Muffin,10/31/2016 14:47,Afternoon,Weekday,191
165,Tea,10/31/2016 14:48,Afternoon,Weekday,172
166,Coffee,10/31/2016 14:49,Afternoon,Weekday,194
166,Muffin,10/31/2016 14:49,Afternoon,Weekday,196
167,Sandwich,10/31/2016 14:50,Afternoon,Weekday,196
167,Hearty & Seasonal,10/31/2016 14:50,Afternoon,Weekday,236
167,Bread,10/31/2016 14:50,Afternoon,Weekday,235
167,Mineral water,10/31/2016 14:50,Afternoon,Weekday,229
168,Tea,10/31/2016 14:56,Afternoon,Weekday,243
168,Coffee,10/31/2016 14:56,Afternoon,Weekday,264
169,Mineral water,10/31/2016 15:05,Afternoon,Weekday,272
170,Coffee,10/31/2016 15:16,Afternoon,Weekday,237
171,Soup,10/31/2016 15:20,Afternoon,Weekday,211
171,Tea,10/31/2016 15:20,Afternoon,Weekday,180
172,Bread,10/31/2016 17:06,Evening,Weekday,201
172,Coffee,10/31/2016 17:06,Evening,Weekday,204
173,Bread,10/31/2016 17:08,Evening,Weekday,188
173,Muffin,10/31/2016 17:08,Evening,Weekday,235
174,Coffee,10/31/2016 17:40,Evening,Weekday,227
175,Bread,10/31/2016 17:49,Evening,Weekday,234
176,Cookies,10/31/2016 18:22,Evening,Weekday,264
176,Coffee,10/31/2016 18:22,Evening,Weekday,302
178,Coffee,1/11/2016 7:51,Morning,Weekday,293
178,Pastry,1/11/2016 7:51,Morning,Weekday,259
179,Coffee,1/11/2016 8:20,Morning,Weekday,229
179,Pastry,1/11/2016 8:20,Morning,Weekday,203
180,Jam,1/11/2016 8:22,Morning,Weekday,229
180,Tea,1/11/2016 8:22,Morning,Weekday,242
181,Tea,1/11/2016 8:45,Morning,Weekday,233
181,Tea,1/11/2016 8:45,Morning,Weekday,267
182,Pastry,1/11/2016 9:07,Morning,Weekday,269
182,Pastry,1/11/2016 9:07,Morning,Weekday,270
182,Ella's Kitchen Pouches,1/11/2016 9:07,Morning,Weekday,315
183,Pastry,1/11/2016 9:09,Morning,Weekday,364
184,Farm House,1/11/2016 9:26,Morning,Weekday,347
184,Tea,1/11/2016 9:26,Morning,Weekday,312
185,Tea,1/11/2016 9:29,Morning,Weekday,274
185,Victorian Sponge,1/11/2016 9:29,Morning,Weekday,237
186,Tea,1/11/2016 9:43,Morning,Weekday,278
186,Pastry,1/11/2016 9:43,Morning,Weekday,284
187,Bread,1/11/2016 10:02,Morning,Weekday,277
188,Coffee,1/11/2016 10:04,Morning,Weekday,317
189,Bread,1/11/2016 10:29,Morning,Weekday,313
189,Coffee,1/11/2016 10:29,Morning,Weekday,318
190,Coffee,1/11/2016 10:34,Morning,Weekday,374
190,Pastry,1/11/2016 10:34,Morning,Weekday,413
190,Pastry,1/11/2016 10:34,Morning,Weekday,405
191,Soup,1/11/2016 10:50,Morning,Weekday,355
191,Tea,1/11/2016 10:50,Morning,Weekday,306
192,Bread,1/11/2016 10:56,Morning,Weekday,271
193,Coffee,1/11/2016 11:00,Morning,Weekday,306
194,Bread,1/11/2016 11:04,Morning,Weekday,315
194,Bread,1/11/2016 11:04,Morning,Weekday,301
195,Bread,1/11/2016 11:06,Morning,Weekday,356
195,Scandinavian,1/11/2016 11:06,Morning,Weekday,348
196,Bread,1/11/2016 11:08,Morning,Weekday,355
196,Cake,1/11/2016 11:08,Morning,Weekday,422
196,Cookies,1/11/2016 11:08,Morning,Weekday,465
197,Coffee,1/11/2016 11:10,Morning,Weekday,467
197,Coffee,1/11/2016 11:10,Morning,Weekday,404
197,Tea,1/11/2016 11:10,Morning,Weekday,347
198,Coffee,1/11/2016 11:11,Morning,Weekday,305
198,Cookies,1/11/2016 11:11,Morning,Weekday,336
199,Coffee,1/11/2016 11:13,Morning,Weekday,340
200,Bread,1/11/2016 11:16,Morning,Weekday,318
201,Coffee,1/11/2016 11:22,Morning,Weekday,362
201,Pastry,1/11/2016 11:22,Morning,Weekday,348
202,Coffee,1/11/2016 11:23,Morning,Weekday,363
202,Coffee,1/11/2016 11:23,Morning,Weekday,435
203,Coffee,1/11/2016 11:25,Morning,Weekday,491
204,Scandinavian,1/11/2016 11:30,Morning,Weekday,505
204,Bread,1/11/2016 11:30,Morning,Weekday,404
205,Coffee,1/11/2016 11:49,Morning,Weekday,359
205,Coffee,1/11/2016 11:49,Morning,Weekday,310
205,Pastry,1/11/2016 11:49,Morning,Weekday,337
206,Scandinavian,1/11/2016 11:54,Morning,Weekday,360
206,Coffee,1/11/2016 11:54,Morning,Weekday,342
206,Pastry,1/11/2016 11:54,Morning,Weekday,406
207,Hearty & Seasonal,1/11/2016 12:03,Afternoon,Weekday,396
207,Coffee,1/11/2016 12:03,Afternoon,Weekday,420
207,Muffin,1/11/2016 12:03,Afternoon,Weekday,472
208,Bread,1/11/2016 12:10,Afternoon,Weekday,548
209,Coffee,1/11/2016 12:10,Afternoon,Weekday,559
210,Scandinavian,1/11/2016 12:12,Afternoon,Weekday,463
211,Soup,1/11/2016 12:15,Afternoon,Weekday,407
211,Coffee,1/11/2016 12:15,Afternoon,Weekday,362
212,Coffee,1/11/2016 12:20,Afternoon,Weekday,405
212,Cookies,1/11/2016 12:20,Afternoon,Weekday,417
212,Tartine,1/11/2016 12:20,Afternoon,Weekday,391
213,Bread,1/11/2016 12:22,Afternoon,Weekday,419
214,Bread,1/11/2016 12:26,Afternoon,Weekday,461
214,Tea,1/11/2016 12:26,Afternoon,Weekday,472
214,Tea,1/11/2016 12:26,Afternoon,Weekday,535
215,Pastry,1/11/2016 12:30,Afternoon,Weekday,622
215,Coffee,1/11/2016 12:30,Afternoon,Weekday,606
216,Tartine,1/11/2016 12:31,Afternoon,Weekday,508
216,Coffee,1/11/2016 12:31,Afternoon,Weekday,461
217,Bread,1/11/2016 12:33,Afternoon,Weekday,390
217,Cookies,1/11/2016 12:33,Afternoon,Weekday,432
218,Sandwich,1/11/2016 12:37,Afternoon,Weekday,112
219,Tartine,1/11/2016 12:41,Afternoon,Weekday,118
220,Bread,1/11/2016 12:49,Afternoon,Weekday,132
220,Pastry,1/11/2016 12:49,Afternoon,Weekday,129
221,Bread,1/11/2016 12:53,Afternoon,Weekday,112
221,Scandinavian,1/11/2016 12:53,Afternoon,Weekday,118
222,Scandinavian,1/11/2016 13:08,Afternoon,Weekday,132
223,Alfajores,1/11/2016 13:11,Afternoon,Weekday,129
223,Coffee,1/11/2016 13:11,Afternoon,Weekday,121
224,Coffee,1/11/2016 13:15,Afternoon,Weekday,135
225,Coffee,1/11/2016 13:19,Afternoon,Weekday,148
225,Coke,1/11/2016 13:19,Afternoon,Weekday,148
225,Soup,1/11/2016 13:19,Afternoon,Weekday,136
226,Cake,1/11/2016 13:21,Afternoon,Weekday,119
227,Tea,1/11/2016 13:31,Afternoon,Weekday,104
227,Sandwich,1/11/2016 13:31,Afternoon,Weekday,118
227,Soup,1/11/2016 13:31,Afternoon,Weekday,115
